name,time,case_per_t,t0_year,year_num,treated,d_case_per_t
United Arab Emirates,2006,2.220682649544204,0,-6,0,NA
United Arab Emirates,2018,5.324237818,0,6,0,3.1035551684557965
United Republic of Tanzania,2006,1.8587984737588872,0,-6,0,NA
United Republic of Tanzania,2018,3.686525434,0,6,0,1.8277269602411128
United States of America,2006,70.54361286895212,0,-6,0,NA
United States of America,2018,75.63886437,0,6,0,5.095251501047869
Uzbekistan,2006,6.16930148273291,0,-6,0,NA
Uzbekistan,2018,8.042419319,0,6,0,1.8731178362670908
Vanuatu,2006,8.470978967156299,0,-6,0,NA
Vanuatu,2018,13.97975346,0,6,0,5.508774492843701
Venezuela (Bolivarian Republic of),2006,11.138170716855262,2012,-6,1,NA
Venezuela (Bolivarian Republic of),2018,19.35702044,2012,6,1,8.218849723144737
Viet Nam,2006,29.9805909046404,0,-6,0,NA
Viet Nam,2018,25.53946024,0,6,0,-4.441130664640401
Yemen,2006,4.329249994972845,0,-6,0,NA
Yemen,2018,4.11564398,0,6,0,-0.2136060149728456
Zimbabwe,2006,4.474190111205664,0,-6,0,NA
Zimbabwe,2018,6.711848714,0,6,0,2.237658602794336
